Content,Domain,Sentiment,Discrimination,,Channel
"Preventing gender-based violence is crucial for fostering a world of equality and safety. By addressing the root causes and promoting awareness, we can create a society where women and girls can live free from violence and fear.

UNFPA is committed to fostering a world where women are granted opportunities and resources they need to thrive. Through targeted initiatives, UNFPA works tirelessly to address gender-based disparities, advocating for reproductive health and rights, promoting education, and creating spaces for women to actively participate in decision-making processes.

By championing the empowerment of women and girls, UNFPA Sri Lanka contributes to building societies that recognize the inherent value and potential of every individual, irrespective of gender, fostering a just and equitable global landscape.

UNFPA Asia and the Pacific | UNFPA",Women,Positive,Non Discriminative,,Social Media
"Front Line Defenders pledges solidarity with women human rights defenders in #Kazakhstan by urging city authorities of Almaty and the government to support the 8March.KZ , and issue a permit for the peaceful demonstration and march on International Women's Day on March 8, 2024. 

The right to freedom of speech, freedom of assembly, and freedom of association must be respected.",Women,Positive,Non Discriminative,,Social Media
"Revolutionizing Road Safety: The SLMA Expert Committee on PRTC takes the wheel in steering an impactful awareness program for the Threewheeler Associations. A milestone press conference held at the SLMA auditorium on 28th Nov 2023 paves the way for the prevention of road traffic crashes and the establishment of a Presidential Task Force.

#RoadSafety #SLMA #SafeSriLanka #eChannelling #ProtectOurYouth",None,Positive,Non Discriminative,,Social Media
"Negombo - 2024.01.06

Strengthening democracy and governance through improved inclusion and participation of youth, women, and other marginalized communities. 

Centre for Monitoring Election Violence (CMEV) Conducted its first session out of 25 one-day training sessions for youth, women, Persons with Disabilities, and other marginalized communities on the electoral system and legal framework in Sri Lanka in order to empower them to effectively engage in the electoral and democratic process. 

The discussion was facilitated by  Mr D.M. Dissanayake - AAL, and Mr Jayantha Dehiattage - AAL. The program was organized by Mr. Dilan Wijesekara, Field Coordinator - CMEV and Mr Wasantha Kumara, District Representative - CMEV under the guidance of Mr. A.M.N Victor, National Coordinator - CMEV.

#CMEV #CivicEmpowerment",None,Positive,Non Discriminative,,Social Media
"How do we create a world where girls are free to be themselves? ​​🤔

👉🏽 Let them lead! 👈🏿

This #DayOfTheGirl, RT if you agree with @UNFPA that we need to listen to and support what girls want 🧡

#GlobalGoals",Women,Positive,Non Discriminative,,Social Media
"Exciting strides in women's health!

UNFPA Sri Lanka and the Ministry of Health, Sri Lanka led a National Stakeholder Consultation to standardize reusable menstrual products in #SriLanka.

The collaboration between ministries and agencies to ensure standards for menstrual hygiene future is an encouraging step forward for sexual and reproductive health for all women and girls.",Women,Positive,Non Discriminative,,Social Media
"""Happy Thai Pongal to our vibrant community at Women and Media Collective! As we gather to celebrate this harvest festival, let's embrace the richness of tradition and unity. May the festivities bring joy, warmth, and shared moments. Wishing everyone a delightful Thai Pongal! 🌾🌞✨ 

#ThaiPongal #CulturalCelebration #CommunitySpirit""",Women,Positive,Non Discriminative,,Social Media
"Dive into this insightful piece by UNFPA Sri Lanka Representative, Kunle Adeniyi on the profound impact of education in achieving gender equality and a progressive future for all. 

Discover how CSE enables youth to make responsible decisions about their sexual health & rights. Read more: unf.pa/3vTPX8k",Women,Positive,Non Discriminative,,Social Media
"Reflecting on the 50-year journey of UNFPA Sri Lanka with the Department of Demography at University of Colombo, we reaffirm our dedication towards achieving gender equality and sustainable development. Such collaborations are instrumental in advancing our understanding of population issues.",Women,Positive,Non Discriminative,,Social Media
"Young leaders in #SriLanka teamed up with UNFPA Sri Lanka to address #climatechange and #gender issues. Together, they aim to create an inclusive statement and national action plan for COP28. 

Let's support their efforts! 🌍🤝",Women,None,Non Discriminative,,Social Media
"There’s nothing “normal” or “cultural” about violence against women and girls.

It’s time to stop making excuses 🙅🏾‍♀️

Join UNFPA in stepping up efforts to #ENDviolence for good: https://unf.pa/gbvd

#GlobalGoals",Women,Negative,Discriminative,,Social Media
"⚖️ There is no climate justice without reproductive justice!

As #COP28 takes place in #Dubai, see what @‌UNFPA is doing to protect the rights of women and girls affected by #ClimateChange: https://unf.pa/ftw

#ClimateAction",Women,Negative,Discriminative,,Social Media
"UNFPA and the Jaffna Social Action Center partnered for an impactful training for government officers to address harmful gender norms and violence. Our findings highlighted unequal household duties, stereotypical parenting roles, restrictions on women’s employment, belief in male-dominated societies, limited financial independence, and a tolerance for violence. These officers are set to conduct community-level training for 500 participants in December. #GenderEquality",Women,Positive,Non Discriminative,,Social Media
